section,label,Nom,Définition,Type,exemple valeur,Exemple texte,source
Révision du prix,has_revision_prix_materiaux,Clause de révision du prix des matériaux,Indique si Entech peut réviser le prix contractuel en cas d'augmentation significative du coût des matériaux.,BOOLEAN,TRUE,Le prix pourra être révisé en cas de variation à la hausse des matériaux.,Annexe 10 - CGV Entech_16102025.pdf
Révision du prix,pourcentage_seuil_revision_prix,Seuil de déclenchement de la révision de prix,Variation minimale d'un indice de référence permettant de déclencher une révision du prix.,INT,10,La révision du prix interviendra en cas d'augmentation d'au moins dix pour cent d'un des indices.,Annexe 10 - CGV Entech_16102025.pdf
Révision du prix,has_indice_revision_modules,Indice de révision des modules photovoltaïques,Indique si un indice de référence est prévu pour ajuster le prix des modules photovoltaïques en cas de hausse de prix.,BOOLEAN,TRUE,"Pour les modules photovoltaïques, l'indice PVXchange Mainstream est utilisé.",Annexe 10 - CGV Entech_16102025.pdf
Révision du prix,has_indice_revision_metaux,Indice de révision des métaux,Indique si un indice de référence est prévu pour ajuster les composantes métalliques du prix du marché.,BOOLEAN,TRUE,"Pour les métaux, l'indice INSEE de prix d'importation de produits métallurgiques est utilisé.",Annexe 10 - CGV Entech_16102025.pdf
Révision du prix,has_substitution_equipements_revision_prix,Possibilité de substituer des équipements,Indique si Entech peut proposer de nouvelles références d'équipements lors d'une révision du prix lorsque cette substitution est dans l'intérêt de l'Acheteur.,BOOLEAN,TRUE,Le Constructeur pourra proposer de nouvelles références d'équipements et matériels à l'occasion de la révision du prix.,Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_coordinateur_sps_charge_acheteur,Coordinateur SPS à la charge de l'Acheteur,Indique si la désignation d'un coordinateur SPS en situation de coactivité relève de la responsabilité de l'Acheteur.,BOOLEAN,TRUE,"En cas de Coactivité, l'Acheteur est responsable de missionner un coordinateur SPS.",Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_pgc_charge_acheteur,PGC sous responsabilité de l'Acheteur,Indique si l'organisation permettant la rédaction du Plan Général de Coordination relève de la responsabilité de l'Acheteur en situation de coactivité.,BOOLEAN,TRUE,L'Acheteur missionne un coordinateur SPS chargé de rédiger le PGC.,Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_droit_interdiction_acces_chantier,Droit d'interdire l'accès au chantier,Indique si Entech peut interdire l'accès au périmètre de chantier lorsque la présence d'un tiers compromet la sécurité ou l'organisation des travaux.,BOOLEAN,TRUE,Le Constructeur se réserve le droit d'interdire l'accès au périmètre chantier en cas de non-respect des consignes de sécurité.,Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_exclusion_securite_generale_site,Exclusion de responsabilité sur la sécurité générale du site,Indique si Entech n'est responsable que de son périmètre chantier et non de la sécurité générale des zones du site étrangères à ses travaux.,BOOLEAN,TRUE,La responsabilité du Constructeur ne pourra être recherchée relativement à la sécurité générale du Site et aux zones non affectées aux travaux.,Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_gestion_acces_charge_acheteur,Gestion des accès à la charge de l'Acheteur,Indique si la gestion générale des accès au site demeure sous la responsabilité de l'Acheteur.,BOOLEAN,TRUE,L'Acheteur demeure responsable de la gestion des accès au Site.,Annexe 10 - CGV Entech_16102025.pdf
Sécurité et coactivité,has_exclusion_vol_chantier,Exclusion de responsabilité d'Entech pour les vols,Indique si Entech exclut sa responsabilité concernant les pertes ou vols sur le chantier sauf faute qui lui serait imputable.,BOOLEAN,TRUE,Le Constructeur ne pourra être tenu responsable des pertes ou vols affectant les biens présents sur le Site.,Annexe 10 - CGV Entech_16102025.pdf
Travaux préalables,has_etude_structure_charge_acheteur,Étude structure à la charge de l'Acheteur,Indique si les études structurelles préalables nécessaires à la réalisation du projet sont sous la responsabilité de l'Acheteur lorsqu'elles sont prévues au devis.,BOOLEAN,TRUE,"L'Acheteur est responsable des études préalables sur le Site, notamment de l'étude de structure de charpente.",Annexe 10 - CGV Entech_16102025.pdf
Travaux préalables,has_travaux_couverture_charge_acheteur,Travaux de couverture à la charge de l'Acheteur,Indique si les travaux préalables de couverture nécessaires au projet sont sous la responsabilité de l'Acheteur lorsqu'ils sont prévus au devis.,BOOLEAN,TRUE,L'Acheteur est responsable des travaux préalables tels que les travaux de couverture.,Annexe 10 - CGV Entech_16102025.pdf
Travaux préalables,has_terrassement_charge_acheteur,Terrassement à la charge de l'Acheteur,Indique si les travaux de terrassement préalables nécessaires au projet sont sous la responsabilité de l'Acheteur lorsqu'ils sont prévus au devis.,BOOLEAN,TRUE,"L'Acheteur est responsable des travaux préalables sur le Site, notamment du terrassement.",Annexe 10 - CGV Entech_16102025.pdf
Travaux préalables,has_exclusion_responsabilite_travaux_prealables,Exclusion de responsabilité pour les travaux préalables,Indique si Entech exclut sa responsabilité pour les dommages résultant d'études ou travaux préalables relevant de l'Acheteur.,BOOLEAN,TRUE,Il est prévu une exclusion totale de responsabilité du Constructeur pour tout dommage résultant d'une défaillance de l'Acheteur concernant les études et travaux préalables.,Annexe 10 - CGV Entech_16102025.pdf
Raccordement,has_demande_raccordement_charge_acheteur,Demande de raccordement à la charge de l'Acheteur,Indique si la responsabilité de la demande de raccordement au réseau électrique incombe contractuellement à l'Acheteur.,BOOLEAN,TRUE,La demande de raccordement au réseau électrique est à la charge de l'Acheteur.,Annexe 10 - CGV Entech_16102025.pdf
Raccordement,has_frais_raccordement_charge_acheteur,Frais de raccordement à la charge de l'Acheteur,Indique si tous les frais facturés au titre du raccordement au réseau restent à la charge de l'Acheteur.,BOOLEAN,TRUE,Les frais de raccordement demeurent à la charge exclusive de l'Acheteur.,Annexe 10 - CGV Entech_16102025.pdf
Raccordement,has_mandat_raccordement,Mandat requis pour la demande de raccordement,Indique si Entech ne réalise la demande de raccordement pour le compte de l'Acheteur que lorsqu'un mandat de représentation est prévu et signé.,BOOLEAN,TRUE,La demande pourra être effectuée par le Constructeur sous réserve d'un mandat de représentation signé.,Annexe 10 - CGV Entech_16102025.pdf
Sous-traitance,has_droit_sous_traitance,Droit de recours à la sous-traitance,Indique si Entech peut confier à un ou plusieurs sous-traitants tout ou partie des travaux prévus au marché.,BOOLEAN,TRUE,Le Constructeur pourra faire appel à un ou plusieurs sous-traitants pour effectuer tout ou partie des travaux.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_exclusion_retard_fait_tiers,Retards liés aux tiers non imputables à Entech,Indique si les décalages de planning provoqués par des tiers ne peuvent pas être imputés à Entech.,BOOLEAN,TRUE,Tout décalage de planning en raison de faits imputables à un tiers ne pourra en aucun cas être imputable au Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_exclusion_retard_fait_acheteur,Retards liés à l'Acheteur non imputables à Entech,Indique si les décalages de planning provoqués par l'Acheteur ne peuvent pas être imputés à Entech.,BOOLEAN,TRUE,Tout décalage de planning en raison de faits imputables à l'Acheteur ne pourra en aucun cas être imputable au Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_exclusion_retard_raccordement,Retards de raccordement non imputables à Entech,"Indique si les retards liés au devis, aux travaux ou au traitement du raccordement par le gestionnaire de réseau sont exclus de la responsabilité planning d'Entech.",BOOLEAN,TRUE,Un délai pour l'obtention du devis de raccordement ou les délais de traitement du gestionnaire de réseau ne pourra être imputable au Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_exclusion_retard_consuel,Retards Consuel non imputables à Entech,Indique si les retards liés à l'obtention du Consuel ne sont pas imputables à Entech.,BOOLEAN,TRUE,Les décalages de planning résultant des délais d'obtention du Consuel ne pourront être imputés au Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_exclusion_retard_coactivite,Retards liés à la coactivité non imputables à Entech,Indique si les conséquences de la coactivité sur le planning ne peuvent pas être imputées à Entech.,BOOLEAN,TRUE,Les décalages de planning résultant des conséquences d'une Coactivité sur le Site ne pourront être imputables au Constructeur.,Annexe 10 - CGV Entech_16102025.pdf
Planning,has_demarrage_ingenierie_apres_devis_raccordement,Démarrage ingénierie après devis de raccordement,Indique si les plans d'exécution et les commandes de matériel ne commencent qu'après réception du devis de raccordement du gestionnaire de réseau.,BOOLEAN,TRUE,Le travail d'ingénierie des plans d'exécution et les commandes de matériels ne démarrent qu'à compter de la réception du devis de raccordement.,Annexe 10 - CGV Entech_16102025.pdf
Transfert de propriété,has_reserve_propriete,Clause de réserve de propriété,Indique si Entech reste propriétaire des équipements et matériaux jusqu'à leur paiement complet.,BOOLEAN,TRUE,Le transfert de propriété des équipements intervient lors du paiement complet desdits équipements.,Annexe 10 - CGV Entech_16102025.pdf
Transfert de propriété,has_restitution_equipements_non_paiement,Droit de restitution en cas de non-paiement,Indique si Entech peut demander la restitution des équipements livrés lorsque l'Acheteur ne les a pas intégralement payés.,BOOLEAN,TRUE,"En cas de non-paiement, le Constructeur pourra exiger la restitution des équipements livrés.",Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_droit_suspension_travaux,Droit de suspendre les travaux,Indique si Entech dispose contractuellement du droit de suspendre l'exécution des travaux dans certaines circonstances.,BOOLEAN,TRUE,Le Constructeur se réserve le droit de suspendre les travaux.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_suspension_acces_site,Suspension en cas d'impossibilité d'accès,Indique si Entech peut suspendre les travaux lorsque l'accès au site est difficile ou impossible.,BOOLEAN,TRUE,Les travaux peuvent être suspendus en cas de difficultés ou impossibilité d'accéder au Site.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_suspension_securite_defaillante,Suspension en cas de sécurité défaillante,Indique si Entech peut suspendre les travaux lorsque les conditions de sécurité du site ne permettent pas une intervention normale.,BOOLEAN,TRUE,Les travaux peuvent être suspendus en cas de sécurité défaillante sur le Site.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_suspension_non_paiement,Suspension en cas de non-paiement,Indique si Entech peut suspendre les travaux lorsque l'Acheteur ne règle pas les sommes dues.,BOOLEAN,TRUE,Les travaux peuvent être suspendus en cas de non-paiement des sommes dues.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,delai_non_paiement_suspension,Délai de non-paiement permettant la suspension,Nombre de jours calendaires de retard de paiement permettant à Entech de suspendre les travaux.,INT,30,Le Constructeur peut suspendre les travaux en cas de retard de paiement de plus de trente jours calendaires.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_suspension_force_majeure,Suspension en cas de force majeure ou intempéries,Indique si Entech peut suspendre les travaux lorsque survient un cas de force majeure ou des intempéries.,BOOLEAN,TRUE,Les travaux peuvent être suspendus en cas de Force Majeure ou d'intempéries.,Annexe 10 - CGV Entech_16102025.pdf
Suspension des travaux,has_revision_planning_apres_suspension,Mise à jour du planning après suspension,Indique si le planning peut être adapté lorsqu'une suspension des travaux entraîne un décalage du chantier.,BOOLEAN,TRUE,"En cas de décalage sur le planning, les Parties pourront prévoir une mise à jour du planning.",Annexe 10 - CGV Entech_16102025.pdf
Réception,has_reception_avec_reserves,Réception possible avec réserves,Indique si les non-conformités mineures n'empêchant pas l'exploitation permettent une réception de l'ouvrage avec réserves.,BOOLEAN,TRUE,La Réception avec réserves de l'Ouvrage peut être prononcée en cas de non-conformités mineures n'empêchant pas son exploitation.,Annexe 10 - CGV Entech_16102025.pdf
Réception,has_refus_reception_uniquement_non_conformite_majeure,Refus de réception limité aux non-conformités majeures,Indique si l'Acheteur ne peut refuser la réception que lorsque les non-conformités empêchent effectivement l'exploitation de l'ouvrage.,BOOLEAN,TRUE,"En cas de non-conformité majeure empêchant l'exploitation de l'Ouvrage, l'Acheteur peut refuser la Réception.",Annexe 10 - CGV Entech_16102025.pdf
Réception,has_reception_tacite,Présence d'un mécanisme de réception tacite,Indique si la réception peut intervenir automatiquement lorsque l'Acheteur refuse injustement de réceptionner un ouvrage exploitable ou commence à valoriser son énergie.,BOOLEAN,TRUE,La Réception pourra être réputée tacite et sans réserve.,Annexe 10 - CGV Entech_16102025.pdf
Réception,delai_reception_tacite,Délai de réception tacite,Durée permettant de constater une réception tacite après mise en demeure ou exploitation de l'ouvrage selon les conditions contractuelles.,INT,1,La Réception pourra être réputée tacite et sans réserve après un délai d'un mois suivant une mise en demeure de réceptionner.,Annexe 10 - CGV Entech_16102025.pdf
Réception,delai_visite_reception_apres_achevement,Délai maximal de visite de réception après achèvement,Nombre maximal de mois après l'achèvement dans lequel la visite contradictoire de réception doit être organisée.,INT,1,Une visite de Réception est organisée au plus tard un mois après l'achèvement de l'Ouvrage.,Annexe 10 - CGV Entech_16102025.pdf
Réception,has_interdiction_prise_possession_avant_reception,Interdiction de prise de possession avant réception,Indique si l'Acheteur ne peut prendre possession ou exploiter normalement l'ouvrage avant sa réception.,BOOLEAN,TRUE,Aucune prise de possession anticipée ne pourra avoir lieu par l'Acheteur avant la Réception.,Annexe 10 - CGV Entech_16102025.pdf
Transfert des risques,has_transfert_risques_reception,Transfert des risques à la réception,Indique si les risques liés à l'ouvrage sont transférés de Entech vers l'Acheteur au moment de la réception avec ou sans réserve.,BOOLEAN,TRUE,La Réception avec ou sans réserve marque le transfert des risques liés à l'Ouvrage du Constructeur à l'Acheteur.,Annexe 10 - CGV Entech_16102025.pdf
Transfert des risques,has_exploitation_maintenance_charge_acheteur_apres_reception,Exploitation et maintenance à la charge de l'Acheteur après réception,Indique si l'Acheteur devient seul responsable des risques liés à l'exploitation et à la maintenance après réception de l'ouvrage.,BOOLEAN,TRUE,"À la Réception, l'Acheteur devient seul responsable des risques liés à l'exploitation et à la maintenance de l'Ouvrage.",Annexe 10 - CGV Entech_16102025.pdf
Garanties,delai_garantie_parfait_achevement,Durée de la garantie de parfait achèvement,Durée en années de la garantie de parfait achèvement à compter de la réception de l'ouvrage.,INT,1,Le Constructeur est tenu de réparer les désordres signalés dans un délai d'un an à compter de la Réception.,Annexe 10 - CGV Entech_16102025.pdf
Garanties,delai_garantie_biennale,Durée de la garantie biennale,Durée en années de la garantie de bon fonctionnement applicable aux équipements dissociables de l'ouvrage.,INT,2,Les équipements dissociables bénéficient d'une garantie de bon fonctionnement pendant une durée de deux ans.,Annexe 10 - CGV Entech_16102025.pdf
